"Age","ET","IT1","ST","NT","TT1","FT","JT","PT","AT","TT2","RPT","IPT","APT","SPT","PPT","CPT","PWP1","PRE","PWP2","PET1","PET2","PPET","IQ","RSA","RSB","RSC","RSD","RSE","ABF","BCM","CVW","CAD","EU","EM","EA","H","HEM","IT2","LR","LES","LST","MAPR","MI","PC","PSA","PHR","RS","SP","SC","TE","TL"
"28","86","14","67","33","26","74","31","69","91","9","6","4","8","12","10","3","12","2","0","1","3","6","96","83","75","67","58","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0"
"44","37","63","62","38","73","27","88","12","80","20","12","6","12","3","6","4","2","3","8","10","0","1","112","100","100","92","83","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0"
"33","53","47","65","35","82","18","95","5","63","37","14","7","11","4","3","6","3","1","8","11","0","2","106","100","92","92","83","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0"
"37","55","45","29","71","83","17","85","15","59","41","12","9","6","6","2","8","8","6","7","2","0","1","99","83","83","67","75","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0"
"43","63","37","77","23","39","61","72","28","69","31","9","6","4","11","5","9","8","4","0","0","2","10","100","92","92","75","83","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0"
"29","32","68","44","56","91","9","89","11","29","71","9","12","2","7","4","9","2","10","0","0","2","10","130","100","100","100","92","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0"
"24","41","59","21","79","91","9","78","22","81","19","13","9","2","6","3","10","3","8","0","0","1","12","112","92","92","58","92","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0"
"40","18","82","25","75","95","5","89","11","90","10","12","10","4","4","4","9","9","11","0","1","2","1","128","100","100","100","100","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0"
"34","37","63","30","70","87","13","73","27","73","27","9","7","2","7","7","11","10","8","2","1","1","2","110","100","92","100","75","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0"
"31","70","30","29","71","90","10","69","31","67","33","10","7","1","5","7","13","10","6","0","3","1","4","100","83","75","75","75","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0"
"26","81","19","39","61","70","30","33","67","66","34","5","10","3","13","10","2","12","3","0","0","1","8","130","100","92","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0"
"42","76","24","38","62","24","76","49","51","60","40","6","7","6","12","10","2","11","3","0","0","1","9","112","92","75","92","83","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0"
"24","91","9","68","32","18","82","41","59","41","59","6","7","7","11","9","3","10","6","0","4","0","4","92","67","83","42","67","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0"
"25","69","31","45","55","56","44","61","39","29","71","6","9","2","7","6","13","12","8","1","0","1","2","106","100","92","58","75","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0"
"26","65","35","65","35","67","33","72","28","28","72","9","6","1","8","6","13","12","8","0","1","1","2","102","92","92","92","58","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0"
"32","29","71","43","57","59","41","71","29","39","61","10","6","3","9","4","11","10","5","2","1","0","6","98","92","83","83","50","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0"
"33","74","26","40","60","33","67","74","26","81","19","7","4","8","12","11","1","11","4","0","1","0","8","110","92","83","75","83","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0"
"31","81","19","35","65","31","69","9","91","61","39","7","5","8","11","9","3","10","1","0","2","2","9","108","100","100","67","75","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0"
"40","77","23","68","32","21","79","45","55","30","70","7","5","7","10","10","4","12","3","0","1","0","8","106","92","83","75","75","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0"
"43","27","73","26","74","73","27","67","33","31","69","10","3","2","4","11","13","7","6","3","1","1","6","100","92","83","75","75","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0"
"31","69","31","19","81","88","12","56","44","34","66","8","6","4","3","10","12","10","2","0","1","1","9","100","92","83","83","67","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0"
"29","69","31","25","75","71","29","62","38","26","74","6","8","2","5","12","10","11","3","0","1","0","9","104","100","100","100","75","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0"
"31","71","29","60","40","61","39","38","62","61","39","6","10","9","13","3","2","11","5","0","3","0","5","110","92","83","92","75","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0"
"27","35","65","81","19","90","10","27","73","29","71","8","13","3","3","2","4","2","12","3","2","0","5","140","100","100","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0"
"29","40","60","74","26","40","60","71","29","36","64","4","10","10","12","4","3","10","10","0","3","0","1","130","100","100","100","100","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0"
"43","27","73","7","93","95","5","87","13","54","46","9","11","2","7","4","10","5","12","3","1","1","2","126","92","100","100","100","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0"
